,First_pokemon,Second_pokemon,Winner
6818,Skorupi,Mesprit,Mesprit
6819,Groudon,Kangaskhan,Kangaskhan
6820,Misdreavus,Raikou,Raikou
6821,Koffing,Togepi,Koffing
6822,Lapras,Goldeen,Goldeen
6823,Whismur,Mareep,Mareep
6824,Sawk,Sableye,Sableye
6825,Panpour,Dialga,Dialga
6826,Machop,Venonat,Venonat
6827,Bidoof,Scyther,Scyther
6828,Remoraid,Pinsir,Pinsir
6829,Pansear,Wooper,Wooper
6830,Alomomola,Articuno,Articuno
6831,Spinarak,Togepi,Spinarak
6832,Fennekin,Froakie,Froakie
6833,Bonsly,Seviper,Seviper
6834,Audino,Bouffalant,Bouffalant
6835,Munna,Hippopotas,Hippopotas
6836,Snorunt,Axew,Axew
6837,Qwilfish,Shelmet,Qwilfish
6838,Chespin,Machop,Chespin
6839,Wurmple,Piplup,Piplup
6840,Dratini,Groudon,Groudon
6841,Bonsly,Poochyena,Poochyena
6842,Horsea,Magby,Magby
6843,Lapras,Lillipup,Lapras
6844,Latias,Purrloin,Latias
6845,Manaphy,Emolga,Emolga
6846,Azelf,Kyogre,Azelf
6847,Pachirisu,Larvesta,Pachirisu
6848,Remoraid,Bunnelby,Remoraid
6849,Spinda,Wurmple,Spinda
6850,Espurr,Helioptile,Helioptile
6851,Bellsprout,Deino,Bellsprout
6852,Rhyhorn,Deino,Deino
6853,Psyduck,Purrloin,Purrloin
6854,Pawniard,Smoochum,Smoochum
6855,Bidoof,Chingling,Chingling
6856,Audino,Clamperl,Audino
6857,Tangela,Sawk,Sawk
6858,Spoink,Genesect,Genesect
6859,Cubone,Slugma,Cubone
6860,Hoothoot,Sableye,Sableye
6861,Stantler,Gastly,Gastly
6862,Timburr,Pansage,Pansage
6863,Jirachi,Deino,Jirachi
6864,Roggenrola,Buizel,Buizel
6865,Geodude,Latias,Latias
6866,Torchic,Teddiursa,Torchic
6867,Plusle,Patrat,Plusle
6868,Fletchling,Axew,Fletchling
6869,Remoraid,Minun,Minun
6870,Seviper,Reshiram,Reshiram
6871,Torkoal,Smoochum,Torkoal
6872,Throh,Geodude,Throh
6873,Swirlix,Latios,Swirlix
6874,Heracross,Minccino,Heracross
6875,Minccino,Druddigon,Minccino
6876,Exeggcute,Spritzee,Exeggcute
6877,Lugia,Ekans,Lugia
6878,Relicanth,Gothita,Relicanth
6879,Latias,Pidove,Latias
6880,Pinsir,Entei,Entei
6881,Woobat,Rattata,Rattata
6882,Ekans,Corsola,Ekans
6883,Pawniard,Panpour,Panpour
6884,Trubbish,Heatmor,Heatmor
6885,Mew,Seel,Mew
6886,Mareep,Reshiram,Reshiram
6887,Gastly,Bidoof,Bidoof
6888,Taillow,Shellder,Taillow
6889,Cherubi,Togepi,Cherubi
6890,Electrike,Smeargle,Smeargle
6891,Inkay,Baltoy,Baltoy
6892,Tauros,Lillipup,Tauros
6893,Froakie,Kangaskhan,Kangaskhan
6894,Barboach,Zekrom,Barboach
6895,Corsola,Phanpy,Phanpy
6896,Happiny,Inkay,Inkay
6897,Ponyta,Treecko,Ponyta
6898,Oddish,Psyduck,Psyduck
6899,Cranidos,Natu,Natu
6900,Chespin,Surskit,Surskit
6901,Sandile,Ferroseed,Sandile
6902,Alomomola,Beldum,Alomomola
6903,Venipede,Klink,Venipede
6904,Voltorb,Houndour,Voltorb
6905,Ponyta,Torchic,Ponyta
6906,Elekid,Pidgey,Elekid
6907,Shieldon,Chespin,Chespin
6908,Doduo,Sandile,Doduo
6909,Chingling,Joltik,Joltik
6910,Kricketot,Caterpie,Caterpie
6911,Munna,Meowth,Meowth
6912,Skrelp,Kyurem,Kyurem
6913,Venipede,Zangoose,Zangoose
6914,Petilil,Sentret,Petilil
6915,Buneary,Minun,Minun
6916,Frillish,Carbink,Carbink
6917,Kyurem,Espurr,Kyurem
6918,Litwick,Archen,Archen
6919,Houndour,Cleffa,Houndour
6920,Froakie,Skarmory,Froakie
6921,Articuno,Chespin,Articuno
6922,Spoink,Riolu,Riolu
6923,Zorua,Groudon,Groudon
6924,Frillish,Vulpix,Vulpix
6925,Skiddo,Jirachi,Jirachi
6926,Totodile,Combee,Combee
6927,Cottonee,Remoraid,Cottonee
6928,Riolu,Skiddo,Riolu
6929,Seel,Genesect,Genesect
6930,Celebi,Meditite,Celebi
6931,Remoraid,Barboach,Remoraid
6932,Eevee,Victini,Victini
6933,Seel,Drifloon,Drifloon
6934,Registeel,Lapras,Lapras
6935,Shinx,Nosepass,Shinx
6936,Audino,Cyndaquil,Cyndaquil
6937,Growlithe,Ledyba,Growlithe
6938,Kangaskhan,Duskull,Duskull
6939,Vulpix,Wurmple,Vulpix
6940,Swinub,Slowpoke,Slowpoke
6941,Uxie,Cranidos,Uxie
6942,Magikarp,Spiritomb,Spiritomb
6943,Mesprit,Hoothoot,Mesprit
6944,Shieldon,Pichu,Pichu
6945,Cubchoo,Foongus,Cubchoo
6946,Zekrom,Wynaut,Zekrom
6947,Anorith,Zangoose,Zangoose
6948,Articuno,Grimer,Articuno
6949,Groudon,Oddish,Groudon
6950,Gible,Carbink,Carbink
6951,Anorith,Ponyta,Ponyta
6952,Smeargle,Magikarp,Magikarp
6953,Geodude,Bellsprout,Bellsprout
6954,Latios,Bronzor,Latios
6955,Solosis,Spheal,Spheal
6956,Golett,Combee,Combee
6957,Lickitung,Anorith,Anorith
6958,Snivy,Chinchou,Chinchou
6959,Kyogre,Psyduck,Kyogre
6960,Drilbur,Frillish,Frillish
6961,Horsea,Noibat,Horsea
6962,Pachirisu,Drilbur,Drilbur
6963,Heracross,Dunsparce,Heracross
6964,Elekid,Swirlix,Elekid
6965,Dratini,Minccino,Minccino
6966,Shuckle,Shroomish,Shroomish
6967,Relicanth,Machop,Relicanth
6968,Baltoy,Togepi,Baltoy
6969,Chespin,Corsola,Chespin
6970,Pancham,Seviper,Seviper
6971,Pansage,Dwebble,Pansage
6972,Cobalion,Darumaka,Cobalion
6973,Cubchoo,Joltik,Joltik
6974,Mew,Tirtouga,Mew
6975,Mankey,Machop,Mankey
6976,Cranidos,Pachirisu,Pachirisu
6977,Turtwig,Smeargle,Turtwig
6978,Drowzee,Tyrunt,Tyrunt
6979,Bellsprout,Foongus,Bellsprout
6980,Staryu,Piplup,Staryu
6981,Solrock,Onix,Onix
6982,Spearow,Magby,Magby
6983,Koffing,Snorunt,Snorunt
6984,Spritzee,Regirock,Regirock
6985,Slugma,Seviper,Seviper
6986,Shelmet,Jirachi,Jirachi
6987,Larvitar,Tyrunt,Tyrunt
6988,Horsea,Swablu,Horsea
6989,Rattata,Goldeen,Rattata
6990,Girafarig,Lugia,Lugia
6991,Cubone,Venipede,Venipede
6992,Minun,Geodude,Geodude
6993,Mankey,Magikarp,Magikarp
6994,Makuhita,Cleffa,Makuhita
6995,Relicanth,Espurr,Espurr
6996,Elgyem,Ponyta,Ponyta
6997,Lillipup,Smeargle,Smeargle
6998,Growlithe,Magnemite,Growlithe
6999,Chingling,Absol,Absol
7000,Kabuto,Pidove,Kabuto
7001,Amaura,Wooper,Amaura
7002,Aerodactyl,Oshawott,Aerodactyl
7003,Piplup,Swablu,Swablu
7004,Heatran,Binacle,Heatran
7005,Pawniard,Piplup,Pawniard
7006,Volcanion,Skitty,Volcanion
7007,Cottonee,Roggenrola,Roggenrola
7008,Shieldon,Cubone,Cubone
7009,Paras,Taillow,Taillow
7010,Palkia,Girafarig,Palkia
7011,Virizion,Cubchoo,Virizion
7012,Dratini,Espurr,Espurr
7013,Murkrow,Shellder,Murkrow
7014,Stantler,Beldum,Stantler
7015,Diancie,Psyduck,Psyduck
7016,Feebas,Timburr,Timburr
7017,Regigigas,Koffing,Regigigas
7018,Tentacool,Cacnea,Cacnea
7019,Regice,Moltres,Moltres
7020,Azurill,Abra,Abra
7021,Munna,Cryogonal,Cryogonal
7022,Petilil,Yamask,Yamask
7023,Meditite,Rufflet,Rufflet
7024,Roggenrola,Hippopotas,Hippopotas
7025,Registeel,Croagunk,Croagunk
7026,Heracross,Volcanion,Heracross
7027,Miltank,Chingling,Miltank
7028,Finneon,Anorith,Anorith
7029,Machop,Snivy,Snivy
7030,Bellsprout,Hawlucha,Hawlucha
7031,Corphish,Scraggy,Scraggy
7032,Blitzle,Audino,Blitzle
7033,Spoink,Charmander,Charmander
7034,Pansage,Machop,Pansage
7035,Carbink,Seel,Carbink
7036,Elgyem,Barboach,Barboach
7037,Darkrai,Heatran,Darkrai
7038,Phantump,Virizion,Virizion
7039,Pichu,Relicanth,Pichu
7040,Woobat,Oshawott,Woobat
7041,Smoochum,Lunatone,Lunatone
7042,Shuppet,Golett,Golett
7043,Corsola,Stantler,Stantler
7044,Registeel,Drifloon,Drifloon
7045,Munna,Bagon,Bagon
7046,Klefki,Qwilfish,Qwilfish
7047,Dedenne,Tirtouga,Dedenne
7048,Totodile,Minccino,Minccino
7049,Electrike,Exeggcute,Electrike
7050,Plusle,Lickitung,Plusle
7051,Sunkern,Combee,Combee
7052,Panpour,Grimer,Panpour
7053,Sigilyph,Clamperl,Sigilyph
7054,Mienfoo,Mawile,Mienfoo
7055,Lapras,Kecleon,Lapras
7056,Archen,Doduo,Doduo
7057,Honedge,Petilil,Petilil
7058,Zekrom,Seedot,Zekrom
7059,Azelf,Panpour,Azelf
7060,Lotad,Shroomish,Shroomish
7061,Sentret,Smoochum,Smoochum
7062,Baltoy,Tentacool,Tentacool
7063,Oddish,Zangoose,Zangoose
7064,Ho-oh,Chespin,Ho-oh
7065,Clamperl,Aerodactyl,Aerodactyl
7066,Koffing,Bergmite,Koffing
7067,Beldum,Abra,Abra
7068,Swablu,Chinchou,Chinchou
7069,Clamperl,Remoraid,Remoraid
7070,Hippopotas,Espurr,Espurr
7071,Carvanha,Solrock,Carvanha
7072,Cacnea,Shieldon,Cacnea
7073,Shelmet,Cryogonal,Cryogonal
7074,Vulpix,Sableye,Sableye
7075,Bagon,Tympole,Tympole
7076,Nosepass,Elgyem,Elgyem
7077,Bronzor,Litwick,Bronzor
7078,Houndour,Doduo,Doduo
7079,Koffing,Fletchling,Fletchling
7080,Tynamo,Munchlax,Munchlax
7081,Stantler,Wingull,Wingull
7082,Skitty,Aron,Skitty
7083,Dratini,Yamask,Dratini
7084,Drilbur,Slowpoke,Drilbur
7085,Carvanha,Teddiursa,Carvanha
7086,Chimchar,Mudkip,Chimchar
7087,Deino,Darumaka,Darumaka
7088,Aerodactyl,Sandile,Aerodactyl
7089,Palkia,Phanpy,Palkia
7090,Groudon,Meowth,Meowth
7091,Swinub,Paras,Swinub
7092,Feebas,Gible,Gible
7093,Elekid,Nincada,Elekid
7094,Solosis,Alomomola,Alomomola
7095,Fennekin,Piplup,Fennekin
7096,Yveltal,Reshiram,Yveltal
7097,Druddigon,Yveltal,Yveltal
7098,Bergmite,Azelf,Azelf
7099,Barboach,Spearow,Spearow
7100,Sandile,Mudkip,Sandile
7101,Mienfoo,Croagunk,Mienfoo
7102,Natu,Elgyem,Natu
7103,Skitty,Litwick,Litwick
7104,Pancham,Taillow,Taillow
7105,Finneon,Patrat,Finneon
7106,Zapdos,Reshiram,Zapdos
7107,Rhyhorn,Palkia,Palkia
7108,Buneary,Zekrom,Zekrom
7109,Pidgey,Vanillite,Pidgey
7110,Tynamo,Rhyhorn,Rhyhorn
7111,Sentret,Rotom,Rotom
7112,Ledyba,Zigzagoon,Zigzagoon
7113,Ralts,Voltorb,Voltorb
7114,Latios,Miltank,Latios
7115,Litleo,Illumise,Illumise
7116,Tyrogue,Electrike,Electrike
7117,Palkia,Skrelp,Palkia
7118,Shieldon,Kricketot,Shieldon
7119,Bouffalant,Timburr,Bouffalant
7120,Seviper,Rotom,Rotom
7121,Gothita,Ponyta,Ponyta
7122,Venonat,Mewtwo,Mewtwo
7123,Slugma,Diancie,Diancie
7124,Cobalion,Zubat,Cobalion
7125,Sentret,Alomomola,Alomomola
7126,Rufflet,Bouffalant,Rufflet
7127,Drifloon,Suicune,Suicune
7128,Meowth,Sandile,Meowth
7129,Heatran,Sewaddle,Heatran
7130,Sandile,Machop,Sandile
7131,Bidoof,Raikou,Raikou
7132,Hoothoot,Bunnelby,Bunnelby
7133,Gligar,Heatmor,Gligar
7134,Tangela,Slakoth,Tangela
7135,Inkay,Magnemite,Magnemite
7136,Shelmet,Electrike,Electrike
7137,Spritzee,Alomomola,Alomomola
7138,Kangaskhan,Relicanth,Kangaskhan
7139,Gothita,Articuno,Articuno
7140,Volcanion,Sigilyph,Sigilyph
7141,Elgyem,Piplup,Piplup
7142,Spoink,Aron,Aron
7143,Heatmor,Illumise,Illumise
7144,Kecleon,Noibat,Noibat
7145,Bonsly,Zapdos,Zapdos
7146,Skarmory,Zorua,Skarmory
7147,Cubchoo,Mesprit,Mesprit
7148,Treecko,Chatot,Chatot
7149,Meowth,Girafarig,Meowth
7150,Bulbasaur,Electrike,Electrike
7151,Dedenne,Wingull,Dedenne
7152,Mantyke,Spearow,Spearow
7153,Zigzagoon,Misdreavus,Misdreavus
7154,Numel,Horsea,Horsea
7155,Diglett,Azelf,Azelf
7156,Squirtle,Zubat,Zubat
7157,Tangela,Larvesta,Larvesta
7158,Wingull,Skrelp,Skrelp
7159,Makuhita,Rotom,Rotom
7160,Golett,Mesprit,Mesprit
7161,Aipom,Carbink,Aipom
7162,Larvitar,Snivy,Snivy
7163,Solrock,Rayquaza,Rayquaza
7164,Ralts,Finneon,Finneon
7165,Baltoy,Piplup,Baltoy
7166,Dunsparce,Reshiram,Reshiram
7167,Surskit,Vullaby,Surskit
7168,Rayquaza,Abra,Rayquaza
7169,Gligar,Surskit,Gligar
7170,Illumise,Duskull,Illumise
7171,Kabuto,Spritzee,Kabuto
7172,Celebi,Entei,Entei
7173,Stunfisk,Cryogonal,Cryogonal
7174,Scyther,Absol,Scyther
7175,Cubone,Woobat,Woobat
7176,Gastly,Murkrow,Murkrow
7177,Swablu,Spinarak,Swablu
7178,Larvesta,Makuhita,Larvesta
7179,Meditite,Shuckle,Meditite
7180,Munchlax,Manaphy,Manaphy
7181,Doduo,Sentret,Doduo
7182,Carnivine,Electrike,Electrike
7183,Stunky,Phione,Phione
7184,Heatran,Dialga,Dialga
7185,Scraggy,Chespin,Scraggy
7186,Poochyena,Staryu,Staryu
7187,Tangela,Scyther,Scyther
7188,Porygon,Tirtouga,Porygon
7189,Wingull,Porygon,Wingull
7190,Cubone,Mudkip,Mudkip
7191,Swinub,Barboach,Barboach
7192,Stunfisk,Cubchoo,Cubchoo
7193,Houndour,Joltik,Joltik
7194,Elekid,Oddish,Elekid
7195,Noibat,Baltoy,Baltoy
7196,Ekans,Chimchar,Chimchar
7197,Mew,Lugia,Lugia
7198,Rattata,Snorunt,Rattata
7199,Minccino,Skitty,Minccino
7200,Cleffa,Azurill,Azurill
7201,Cherubi,Solrock,Solrock
7202,Ledyba,Lickitung,Lickitung
7203,Paras,Swirlix,Swirlix
7204,Vanillite,Porygon,Vanillite
7205,Tauros,Poochyena,Tauros
7206,Ledyba,Foongus,Ledyba
7207,Venipede,Gastly,Gastly
7208,Mareep,Pidove,Pidove
7209,Hoppip,Shinx,Hoppip
7210,Solosis,Carbink,Carbink
7211,Rhyhorn,Spiritomb,Spiritomb
7212,Kangaskhan,Croagunk,Kangaskhan
7213,Entei,Ekans,Entei
7214,Tirtouga,Sneasel,Sneasel
7215,Hoothoot,Kabuto,Kabuto
7216,Dratini,Skitty,Skitty
7217,Treecko,Corphish,Treecko
7218,Bidoof,Scraggy,Scraggy
7219,Drifloon,Sawk,Drifloon
7220,Litwick,Heatran,Heatran
7221,Torchic,Slakoth,Torchic
7222,Karrablast,Reshiram,Reshiram
7223,Bronzor,Terrakion,Terrakion
7224,Victini,Natu,Victini
7225,Voltorb,Shellder,Voltorb
7226,Azurill,Machop,Machop
7227,Litwick,Mienfoo,Litwick
7228,Suicune,Phanpy,Suicune
7229,Solrock,Skitty,Solrock
7230,Mawile,Lillipup,Lillipup
7231,Ekans,Piplup,Ekans
7232,Tyrogue,Rattata,Rattata
7233,Hawlucha,Onix,Hawlucha
7234,Elgyem,Corphish,Corphish
7235,Mew,Combee,Mew
7236,Chimchar,Wailmer,Chimchar
7237,Fletchling,Mesprit,Mesprit
7238,Carvanha,Kecleon,Carvanha
7239,Terrakion,Horsea,Terrakion
7240,Wailmer,Pansear,Pansear
7241,Mankey,Mewtwo,Mewtwo
7242,Wingull,Carvanha,Wingull
7243,Zubat,Onix,Zubat
7244,Karrablast,Pidove,Karrablast
7245,Shuppet,Corsola,Shuppet
7246,Pawniard,Chinchou,Chinchou
7247,Patrat,Golett,Golett
7248,Durant,Mienfoo,Durant
7249,Nosepass,Sableye,Sableye
7250,Sentret,Mew,Mew
7251,Magnemite,Venipede,Venipede
7252,Zekrom,Skorupi,Zekrom
7253,Scyther,Wurmple,Scyther
7254,Poochyena,Anorith,Anorith
7255,Spritzee,Drowzee,Drowzee
7256,Skorupi,Baltoy,Skorupi
7257,Froakie,Darkrai,Darkrai
7258,Pichu,Machop,Pichu
7259,Goomy,Kangaskhan,Kangaskhan
7260,Kabuto,Venipede,Venipede
7261,Ekans,Regirock,Ekans
7262,Pineco,Cherubi,Pineco
7263,Electrike,Pidgey,Electrike
7264,Finneon,Electrike,Finneon
7265,Slakoth,Bronzor,Slakoth
7266,Wingull,Seedot,Seedot
7267,Anorith,Meowth,Meowth
7268,Combee,Lugia,Lugia
7269,Ekans,Voltorb,Voltorb
7270,Cobalion,Krabby,Cobalion
7271,Tympole,Audino,Tympole
7272,Spoink,Snorunt,Spoink
7273,Patrat,Zigzagoon,Zigzagoon
7274,Groudon,Girafarig,Groudon
7275,Nosepass,Heatmor,Heatmor
7276,Foongus,Spinarak,Spinarak
7277,Diglett,Panpour,Diglett
7278,Qwilfish,Chespin,Qwilfish
7279,Finneon,Corsola,Finneon
7280,Raikou,Wooper,Raikou
7281,Delibird,Heatran,Heatran
7282,Tangela,Elekid,Elekid
7283,Lunatone,Groudon,Groudon
7284,Skitty,Tynamo,Tynamo
7285,Roggenrola,Pineco,Pineco
7286,Larvesta,Snubbull,Larvesta
7287,Spiritomb,Karrablast,Karrablast
7288,Articuno,Spritzee,Articuno
7289,Illumise,Archen,Illumise
7290,Munchlax,Joltik,Munchlax
7291,Volcanion,Goomy,Volcanion
7292,Inkay,Spearow,Spearow
7293,Amaura,Celebi,Celebi
7294,Bagon,Slugma,Bagon
7295,Tepig,Mesprit,Mesprit
7296,Rufflet,Dialga,Dialga
7297,Yamask,Aerodactyl,Aerodactyl
7298,Bergmite,Bronzor,Bergmite
7299,Natu,Rufflet,Natu
7300,Skiddo,Remoraid,Remoraid
7301,Misdreavus,Latios,Latios
7302,Elgyem,Pinsir,Pinsir
7303,Togepi,Volbeat,Volbeat
7304,Relicanth,Ledyba,Ledyba
7305,Magnemite,Electrike,Electrike
7306,Sigilyph,Squirtle,Sigilyph
7307,Bulbasaur,Vulpix,Vulpix
7308,Ferroseed,Regirock,Regirock
7309,Lileep,Druddigon,Druddigon
7310,Shuppet,Seviper,Seviper
7311,Chespin,Tyrogue,Chespin
7312,Vanillite,Torkoal,Torkoal
7313,Regirock,Grimer,Regirock
7314,Horsea,Budew,Horsea
7315,Beldum,Girafarig,Girafarig
7316,Shieldon,Machop,Machop
7317,Bonsly,Latios,Latios
7318,Pinsir,Numel,Pinsir
7319,Mankey,Omanyte,Mankey
7320,Audino,Klefki,Klefki
7321,Dratini,Snover,Dratini
7322,Machop,Cryogonal,Machop
7323,Rhyhorn,Chimchar,Rhyhorn
7324,Shuckle,Goldeen,Goldeen
7325,Manaphy,Pansage,Manaphy
7326,Trapinch,Tangela,Tangela
7327,Stantler,Celebi,Celebi
7328,Chatot,Tropius,Chatot
7329,Throh,Dwebble,Dwebble
7330,Alomomola,Ralts,Alomomola
7331,Squirtle,Oshawott,Oshawott
7332,Drilbur,Wooper,Drilbur
7333,Regigigas,Archen,Regigigas
7334,Espurr,Chinchou,Espurr
7335,Oshawott,Vulpix,Vulpix
7336,Sigilyph,Phantump,Sigilyph
7337,Chespin,Kyogre,Kyogre
7338,Bouffalant,Ralts,Bouffalant
7339,Wurmple,Bergmite,Bergmite
7340,Phantump,Regigigas,Regigigas
7341,Chimchar,Tauros,Tauros
7342,Mew,Groudon,Mew
7343,Emolga,Gulpin,Emolga
7344,Lillipup,Kangaskhan,Kangaskhan
7345,Seel,Raikou,Raikou
7346,Darumaka,Swablu,Swablu
7347,Deino,Pidove,Pidove
7348,Horsea,Bulbasaur,Horsea
7349,Trapinch,Archen,Trapinch
7350,Glameow,Shinx,Glameow
7351,Munchlax,Riolu,Munchlax
7352,Shellder,Larvesta,Larvesta
7353,Solosis,Archen,Archen
7354,Psyduck,Dedenne,Dedenne
7355,Spritzee,Budew,Budew
7356,Wynaut,Seviper,Seviper
7357,Panpour,Slowpoke,Slowpoke
7358,Nincada,Tympole,Tympole
7359,Woobat,Genesect,Genesect
7360,Fletchling,Blitzle,Blitzle
7361,Cleffa,Fletchling,Fletchling
7362,Victini,Skorupi,Victini
7363,Magby,Electrike,Magby
7364,Rotom,Bellsprout,Rotom
7365,Whismur,Purrloin,Purrloin
7366,Mudkip,Alomomola,Alomomola
7367,Paras,Celebi,Celebi
7368,Virizion,Yveltal,Virizion
7369,Munchlax,Audino,Munchlax
7370,Tropius,Deino,Tropius
7371,Regirock,Happiny,Regirock
7372,Azurill,Aipom,Aipom
7373,Pawniard,Electrike,Electrike
7374,Wailmer,Carvanha,Carvanha
7375,Tangela,Celebi,Celebi
7376,Totodile,Chatot,Chatot
7377,Zorua,Dedenne,Dedenne
7378,Venipede,Vulpix,Vulpix
7379,Zorua,Larvesta,Zorua
7380,Regirock,Swablu,Swablu
7381,Heracross,Snivy,Heracross
7382,Joltik,Seedot,Joltik
7383,Geodude,Moltres,Moltres
7384,Igglybuff,Buizel,Buizel
7385,Manaphy,Bidoof,Manaphy
7386,Baltoy,Zekrom,Zekrom
7387,Sewaddle,Rotom,Rotom
7388,Skorupi,Goldeen,Skorupi
7389,Baltoy,Beldum,Baltoy
7390,Gligar,Gulpin,Gligar
7391,Gothita,Sawk,Sawk
7392,Elgyem,Duskull,Elgyem
7393,Piplup,Kecleon,Kecleon
7394,Skorupi,Lapras,Skorupi
7395,Chespin,Gulpin,Gulpin
7396,Ponyta,Tympole,Ponyta
7397,Throh,Hawlucha,Hawlucha
7398,Emolga,Pawniard,Emolga
7399,Azurill,Deino,Azurill
7400,Skarmory,Wailmer,Skarmory
7401,Lileep,Skitty,Skitty
7402,Cubone,Roggenrola,Cubone
7403,Mew,Ho-oh,Mew
7404,Goldeen,Petilil,Goldeen
7405,Snover,Azurill,Snover
7406,Cherubi,Absol,Absol
7407,Larvesta,Zorua,Zorua
7408,Psyduck,Mantyke,Psyduck
7409,Exeggcute,Houndour,Houndour
7410,Starly,Combee,Combee
7411,Kyogre,Poochyena,Kyogre
7412,Spoink,Corphish,Spoink
7413,Fletchling,Makuhita,Fletchling
7414,Articuno,Shinx,Articuno
7415,Kricketot,Turtwig,Turtwig
7416,Growlithe,Piplup,Growlithe
7417,Poochyena,Munna,Poochyena
7418,Cubone,Spritzee,Cubone
7419,Carnivine,Noibat,Noibat
7420,Magnemite,Porygon,Magnemite
7421,Emolga,Bulbasaur,Emolga
7422,Hawlucha,Snover,Hawlucha
7423,Shuckle,Seedot,Seedot
7424,Lunatone,Clauncher,Lunatone
7425,Machop,Throh,Throh
7426,Turtwig,Regirock,Regirock
7427,Beldum,Klefki,Klefki
7428,Togepi,Lapras,Lapras
7429,Magikarp,Mantyke,Magikarp
7430,Togepi,Buneary,Buneary
7431,Minun,Trapinch,Trapinch
7432,Entei,Lileep,Entei
7433,Spinarak,Audino,Audino
7434,Krabby,Gothita,Krabby
7435,Magikarp,Bulbasaur,Bulbasaur
7436,Dialga,Bouffalant,Dialga
7437,Cyndaquil,Igglybuff,Cyndaquil
7438,Kyogre,Paras,Kyogre
7439,Cranidos,Remoraid,Remoraid
7440,Panpour,Glameow,Glameow
7441,Lileep,Lapras,Lapras
7442,Wailmer,Chikorita,Wailmer
7443,Woobat,Porygon,Woobat
7444,Cubone,Surskit,Surskit
7445,Hawlucha,Bagon,Hawlucha
7446,Caterpie,Pidove,Caterpie
7447,Pichu,Starly,Starly
7448,Espurr,Venonat,Espurr
7449,Minccino,Bunnelby,Minccino
7450,Nincada,Swirlix,Swirlix
7451,Blitzle,Anorith,Blitzle
7452,Spoink,Regirock,Spoink
7453,Shieldon,Hoothoot,Hoothoot
7454,Golett,Budew,Budew
7455,Totodile,Moltres,Moltres
7456,Mesprit,Shellder,Mesprit
7457,Genesect,Ho-oh,Genesect
7458,Piplup,Inkay,Inkay
7459,Tangela,Azurill,Tangela
7460,Mew,Nosepass,Mew
7461,Igglybuff,Heatran,Heatran
7462,Psyduck,Luvdisc,Luvdisc
7463,Growlithe,Totodile,Growlithe
7464,Riolu,Durant,Durant
7465,Smeargle,Electrike,Smeargle
7466,Phanpy,Heatmor,Heatmor
7467,Shroomish,Staryu,Shroomish
7468,Heracross,Pidgey,Heracross
7469,Ho-oh,Gastly,Ho-oh
7470,Psyduck,Munchlax,Munchlax
7471,Delibird,Purrloin,Delibird
7472,Espurr,Phantump,Espurr
7473,Skitty,Tynamo,Tynamo
7474,Druddigon,Voltorb,Druddigon
7475,Tauros,Riolu,Tauros
7476,Articuno,Woobat,Articuno
7477,Psyduck,Regigigas,Regigigas
7478,Weedle,Reshiram,Reshiram
7479,Alomomola,Dialga,Dialga
7480,Rayquaza,Mawile,Rayquaza
7481,Archen,Darumaka,Archen
7482,Abra,Bellsprout,Bellsprout
7483,Smeargle,Yanma,Yanma
7484,Karrablast,Cranidos,Karrablast
7485,Ponyta,Entei,Entei
7486,Regirock,Skarmory,Skarmory
7487,Ekans,Rotom,Rotom
7488,Goomy,Cottonee,Cottonee
7489,Treecko,Yamask,Treecko
7490,Whismur,Exeggcute,Exeggcute
7491,Manaphy,Buneary,Manaphy
7492,Bonsly,Zekrom,Zekrom
7493,Scraggy,Meowth,Meowth
7494,Exeggcute,Druddigon,Druddigon
7495,Chinchou,Exeggcute,Chinchou
7496,Phione,Kangaskhan,Kangaskhan
7497,Hawlucha,Smeargle,Hawlucha
7498,Rattata,Carvanha,Rattata
7499,Lillipup,Zapdos,Zapdos
7500,Buneary,Inkay,Buneary
7501,Spearow,Drowzee,Spearow
7502,Skitty,Throh,Skitty
7503,Corphish,Pancham,Pancham
7504,Eevee,Heatran,Heatran
7505,Bonsly,Throh,Throh
7506,Torchic,Cryogonal,Cryogonal
7507,Carnivine,Ferroseed,Carnivine
7508,Slakoth,Swinub,Swinub
7509,Froakie,Oshawott,Froakie
7510,Mewtwo,Aerodactyl,Aerodactyl
7511,Kecleon,Chikorita,Chikorita
7512,Lugia,Zangoose,Lugia
7513,Houndour,Alomomola,Alomomola
7514,Helioptile,Skorupi,Helioptile
7515,Ledyba,Spiritomb,Spiritomb
7516,Geodude,Zekrom,Geodude
7517,Cottonee,Shelmet,Shelmet
7518,Pancham,Phanpy,Pancham
7519,Kricketot,Seedot,Seedot
7520,Spoink,Helioptile,Helioptile
7521,Plusle,Pansage,Plusle
7522,Mew,Croagunk,Mew
7523,Virizion,Azurill,Virizion
7524,Clamperl,Skrelp,Clamperl
7525,Natu,Oshawott,Natu
7526,Shuppet,Diancie,Diancie
7527,Aerodactyl,Golett,Aerodactyl
7528,Snover,Taillow,Taillow
7529,Torchic,Oddish,Torchic
7530,Lugia,Blitzle,Lugia
7531,Larvesta,Sentret,Larvesta
7532,Volcanion,Mankey,Mankey
7533,Latias,Elekid,Latias
7534,Minccino,Croagunk,Minccino
7535,Bellsprout,Hawlucha,Hawlucha
7536,Mareep,Darkrai,Darkrai
